DAY,TIME,COURT,HOME,AWAY,,,,,,
THUR,11:30 AM,13,Legends of Wisconsin 16 - 51,Peak Performance Gold - 50,,,,,,
THUR,11:30 AM,16,Kansas Hoopsters ,Hudson Valley Elite Gold John,,,,,,
THUR,11:30 AM,17,Indiana Top Recruit Diamonds Select,IL Hoops Dreams 16U Black,,,,,,
THUR,11:30 AM,18,North Texas Shockers Shields - 43,Metro Hoops 16U - 57,,,,,,
THUR,11:30 AM,19,Wisconsin RAP U15 - 37,Central Illinois Xpress - 49,,,,,,
THUR,11:30 AM,20,A PLUS Purple - 63,Michigan Mystics Donnelley - 38,,,,,,
THUR,11:30 AM,21,Albany Lady Stars Pink - 45,Indy Gym Rats Green - 28,,,,,,
THUR,11:30 AM,22,New Jersey Sparks 16U - 31,805 Basketball - 47,,,,,,
THUR,11:30 AM,23,Boston Showstoppers - 57,Queens Express 16U - 46,,,,,,
THUR,11:30 AM,24,Celtics 16U - 44,Illinois Pizazz 17U Green - 63,,,,,,
THUR,11:30 AM,25,Xpress Hoops - 47,North Texas Shockers 2016 - 54,,,,,,
THUR,11:30 AM,26,AthElite U14 - 38,North Tartan 13U West - 41,,,,,,
THUR,11:30 AM,27,Jersey Cardinals Martinez - 41,Indy Gym Rats Red - 65,,,,,,
THUR,11:30 AM,28,WBA Lady Knicks Fioretti - 68,Philadelphia Belles 2016 - 47,,,,,,
THUR,11:30 AM,29,Pink Panther Hoops,Lady Challengers,,,,,,
THUR,11:30 AM,30,Full Package 8th Black - 53,DFW Elite Glamour Girls - 32,,,,,,
THUR,11:30 AM,31,Rush U14 - 44,HLC 15U - 29,,,,,,
THUR,11:30 AM,32,Illinois Pizazz 14U White - 35,Wisconsin Hoops Select Girls Banasik - 39,,,,,,
THUR,11:30 AM,33,Tigers Black - 43,Advantage Titans - 52,,,,,,
THUR,11:30 AM,34,Lady B.I.G. D.O.G.S. 2016,Lady Vikes,,,,,,
